                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                  1.829,                 1.2732,                 1.2417,                0.74327,                0.66781,                0.68959,                 0.3812,                 1.6321,                 1.0786,                 1.1471,             0.00029696,             0.00029696,             0.00029696
                    132,                   1.78,                 1.1789,                 1.1752,                0.74842,                0.67548,                0.70373,                0.39293,                  1.592,                 1.0954,                 1.1291,             0.00029284,             0.00029284,             0.00029284
                    133,                 1.8074,                 1.2341,                 1.1525,                 0.7727,                 0.7098,                0.72251,                0.39086,                 1.5931,                 1.0639,                  1.132,             0.00028872,             0.00028872,             0.00028872
                    134,                 1.8099,                 1.2555,                 1.1711,                0.76812,                 0.6432,                0.70074,                0.35507,                 1.7048,                 1.1222,                 1.1599,             0.00028459,             0.00028459,             0.00028459
                    135,                    1.8,                 1.1864,                 1.1789,                0.67834,                0.60275,                 0.6126,                0.32243,                 1.6968,                 1.2745,                 1.1651,             0.00028047,             0.00028047,             0.00028047
                    136,                 1.7926,                 1.1788,                 1.1669,                 0.6904,                0.54162,                0.57789,                0.31053,                 1.6581,                 1.3177,                 1.1637,             0.00027635,             0.00027635,             0.00027635
                    137,                 1.8271,                 1.1704,                 1.1325,                0.69248,                0.62274,                0.65293,                0.34017,                 1.6532,                 1.1695,                 1.1563,             0.00027222,             0.00027222,             0.00027222
                    138,                 1.7855,                 1.1544,                 1.1776,                0.62416,                0.73023,                0.72979,                0.39509,                 1.5848,                 1.0522,                  1.131,              0.0002681,              0.0002681,              0.0002681
                    139,                 1.6842,                 1.1082,                 1.1721,                0.68337,                0.72037,                0.73602,                0.41185,                 1.5445,                 1.0774,                 1.1205,             0.00026398,             0.00026398,             0.00026398
                    140,                 1.7337,                  1.209,                 1.1947,                0.76145,                0.72734,                0.73455,                0.39667,                 1.5942,                 1.0725,                 1.1297,             0.00025985,             0.00025985,             0.00025985
                    141,                 1.7986,                 1.1713,                 1.1608,                0.77102,                0.71532,                0.72739,                0.38593,                 1.6216,                 1.0576,                 1.1363,             0.00025573,             0.00025573,             0.00025573
                    142,                 1.7948,                 1.1895,                 1.1682,                0.77953,                0.64098,                0.69933,                0.37315,                 1.6565,                 1.1262,                 1.1458,             0.00025161,             0.00025161,             0.00025161
                    143,                 1.7062,                 1.1351,                 1.1289,                0.73815,                0.60082,                0.66156,                0.37076,                 1.6001,                 1.2011,                  1.135,             0.00024748,             0.00024748,             0.00024748
                    144,                 1.7145,                 1.1187,                 1.2034,                 0.7032,                0.60069,                0.63784,                 0.3658,                 1.5516,                 1.2119,                 1.1199,             0.00024336,             0.00024336,             0.00024336
                    145,                  1.745,                  1.198,                 1.1401,                  0.724,                0.62402,                0.66529,                0.37428,                 1.6016,                 1.1489,                 1.1255,             0.00023924,             0.00023924,             0.00023924
                    146,                 1.7535,                 1.1667,                 1.1853,                0.75503,                0.67893,                 0.7118,                0.39886,                 1.5669,                 1.0538,                  1.118,             0.00023511,             0.00023511,             0.00023511
                    147,                 1.8153,                  1.172,                 1.1507,                0.80207,                0.66526,                0.72704,                0.38416,                 1.6521,                 1.0568,                 1.1332,             0.00023099,             0.00023099,             0.00023099
